symbol,dateTime,startPrice,highestPrice,lowestPrice,endPrice,volume
0GZC.XETRA,2022-06-22T21:59:59Z,100.78,100.78,98.285,98.285,0
0GZC.XETRA,2022-06-27T21:59:59Z,93.32,93.32,91.665,91.665,0
0GZC.XETRA,2022-07-20T21:59:59Z,85.3,85.3,85.075,85.075,0
0GZC.XETRA,2022-07-25T21:59:59Z,89.13,89.13,88.165,88.165,0
0GZC.XETRA,2023-04-13T21:59:59Z,94.67,95.005,93.905,95.005,0
0GZC.XETRA,2023-10-10T21:59:59Z,75.58,75.58,74.68,74.68,0
0GZC.XETRA,2023-12-07T21:59:59Z,65.69,65.945,64.885,65.945,15
18MS.XETRA,2023-10-18T21:59:59Z,8.221,8.284,8.197,8.284,12693
18MS.XETRA,2022-06-09T21:59:59Z,9.284,9.371,9.251,9.369,3378
18MS.XETRA,2022-07-06T21:59:59Z,10.14,10.16,10.104,10.128,1737
18MS.XETRA,2022-11-09T21:59:59Z,9.133,9.167,9.129,9.148,1733
18MS.XETRA,2023-11-03T21:59:59Z,8.151,8.168,8.125,8.155,116111
18MS.XETRA,2022-06-24T21:59:59Z,10.05,10.05,9.812,9.817,12905
18MS.XETRA,2023-11-24T21:59:59Z,7.834,7.834,7.808,7.808,39
18MS.XETRA,2022-09-21T21:59:59Z,9.989,9.992,9.807,9.807,46060
18MS.XETRA,2022-11-10T21:59:59Z,9.19,9.19,8.856,8.856,4062
18MS.XETRA,2023-05-23T21:59:59Z,7.66,7.716,7.66,7.716,2192
18MS.XETRA,2023-06-12T21:59:59Z,7.769,7.769,7.75,7.766,452
0GZC.XETRA,2022-09-16T21:59:59Z,92.44,96.39,92.44,96.39,51
18MS.XETRA,2024-01-03T21:59:59Z,7.619,7.741,7.619,7.727,2122
0GZC.XETRA,2023-08-01T21:59:59Z,88.96,90.385,88.96,89.435,0
18MS.XETRA,2022-12-21T21:59:59Z,8.914,8.914,8.788,8.788,40311
18MS.XETRA,2023-02-21T21:59:59Z,7.993,8.073,7.992,8.004,62989
18MS.XETRA,2023-10-19T21:59:59Z,8.32,8.338,8.29,8.314,2699
18MS.XETRA,2023-11-16T21:59:59Z,7.907,7.933,7.907,7.933,7112
TL0.XETRA,2022-06-01T21:59:59Z,708.7,720.0,693.3,232.3333,40576
TL0.XETRA,2022-06-16T21:59:59Z,658.2,662.8,620.0,207.5333,48230
TL0.XETRA,2022-06-23T21:59:59Z,670.9,688.6,653.0,224.3333,48249
TL0.XETRA,2022-07-04T21:59:59Z,647.4,653.9,639.4,215.5333,14829
TL0.XETRA,2022-07-06T21:59:59Z,676.0,689.2,670.2,224.2667,33465
TL0.XETRA,2022-07-13T21:59:59Z,697.6,718.9,671.3,235.7333,27270
TL0.XETRA,2022-07-14T21:59:59Z,704.0,711.5,691.0,233.2,30073
TL0.XETRA,2022-07-18T21:59:59Z,719.5,738.9,718.7,245.2667,22624
TL0.XETRA,2022-07-25T21:59:59Z,801.2,810.0,788.0,265.4667,35830
TL0.XETRA,2023-01-13T21:59:59Z,109.46,112.2,106.98,110.04,416871
TL0.XETRA,2023-02-08T21:59:59Z,182.82,189.08,181.28,185.22,216336
TL0.XETRA,2023-02-21T21:59:59Z,193.92,196.46,187.9,187.94,206439
TL0.XETRA,2023-03-03T21:59:59Z,179.6,186.26,179.6,185.82,190648
TL0.XETRA,2023-03-15T21:59:59Z,171.8,173.04,166.72,169.3,274149
TL0.XETRA,2023-05-29T21:59:59Z,181.66,182.92,181.66,182.64,60312
TL0.XETRA,2023-06-07T21:59:59Z,209.8,215.1,209.35,213.4,185097
APC.XETRA,2022-07-15T21:59:59Z,148.66,149.8,147.26,146.3109,66478
APC.XETRA,2022-10-28T21:59:59Z,145.66,157.34,145.26,155.1735,209081
APC.XETRA,2022-11-23T21:59:59Z,145.18,146.3,144.16,144.9455,73237
APC.XETRA,2023-09-06T21:59:59Z,175.88,176.0,171.5,171.6175,80920
APC.XETRA,2023-12-18T21:59:59Z,180.4,180.7,177.92,178.48,60640
APC.XETRA,2022-10-03T21:59:59Z,140.6,144.06,139.02,141.8752,87155
APC.XETRA,2024-01-11T21:59:59Z,170.24,170.76,167.94,168.2,39506
APC.XETRA,2022-06-08T21:59:59Z,138.98,139.4,137.92,137.8676,91721
APC.XETRA,2022-06-22T21:59:59Z,127.7,130.22,126.32,127.8784,61889
APC.XETRA,2022-07-08T21:59:59Z,143.32,144.8,142.64,143.3974,55259
APC.XETRA,2023-01-16T21:59:59Z,124.74,124.76,123.24,123.5546,79394
APC.XETRA,2023-01-20T21:59:59Z,125.32,125.98,124.2,124.1709,82001
APC.XETRA,2023-02-02T21:59:59Z,132.8,137.76,132.8,136.9339,174695
APC.XETRA,2023-03-24T21:59:59Z,147.42,148.22,146.78,146.8527,67430
APC.XETRA,2023-08-14T21:59:59Z,162.28,164.74,162.26,163.8285,67118
APC.XETRA,2022-08-02T21:59:59Z,157.3,158.44,155.92,156.3993,75071
APC.XETRA,2022-08-25T21:59:59Z,169.0,170.38,168.64,168.1344,30476
APC.XETRA,2023-08-11T21:59:59Z,162.2,162.68,161.2,161.6716,47811
APC.XETRA,2022-10-11T21:59:59Z,143.6,144.36,142.72,142.7683,94251
APC.XETRA,2022-12-19T21:59:59Z,126.98,127.92,124.18,123.654,91262
APC.XETRA,2023-08-28T21:59:59Z,165.44,166.78,165.0,165.3464,42997
APC.XETRA,2023-09-25T21:59:59Z,164.42,166.72,163.66,166.1253,37386
APC.XETRA,2022-09-28T21:59:59Z,155.78,155.78,150.54,150.9657,265491
APC.XETRA,2024-01-04T21:59:59Z,168.54,168.98,164.94,166.2,100218
APC.XETRA,2023-08-15T21:59:59Z,164.7,164.82,162.26,162.8899,30512
APC.XETRA,2023-12-28T21:59:59Z,174.04,175.48,173.92,175.14,35271
